*HD Name*,*Sp. Type*,*Peculiarities*,*V mag.*,*Merged Spectrum*,*SPI*,*346B 304-388 nm*(*.tar.gz),*437B 373-499 nm*(*.tar.gz),*580L 476-577 nm*(*.tar.gz),*580U 584-684 nm*(*.tar.gz),*860L 660-854 nm*(*.tar.gz),*860U 866-1040 nm*(*.tar.gz),*Unmerged*(*.tar.gz),dd/mm/yy,QC
HD 104237,Ap,el,6.59,hd104237.tfits text,Plot,hd104237,hd104237,hd104237,hd104237,hd104237,hd104237,hd104237,23/01/03,log
HD 47306,A0II,,4.40,hd47306.tfits text,Plot,hd47306,hd47306,hd47306,hd47306,hd47306,hd47306,hd47306,04/12/02,log
HD 111786,A0III,v,6.15,hd111786.tfits text,Plot,hd111786,hd111786,hd111786,hd111786,hd111786,hd111786,hd111786,04/08/02,log
HD 84461,A0IV,,5.55,hd84461.tfits text,Plot,hd84461,hd84461,hd84461,hd84461,hd84461,hd84461,hd84461,22/11/01,log
HD 114365,A0p,Si,06.04,hd114365.tfits text,Plot,hd114365,not yet,not yet,not yet,not yet,not yet,not yet,17/07/01,log
HD 66605,A0p,Si,6.54,hd66605.tfits text,Plot,hd66605,hd66605,hd66605,QC reject,QC reject,QC reject,hd66605,07/04/01,log
HD 66698,A0p,Eu,7.75,hd66698.tfits text,Plot,hd66698,hd66698,hd66698,hd66698,hd66698,hd66698,hd66698,15/11/01,log
HD 80057,A1Ib,,06.05,hd80057.tfits text,Plot,hd80057,hd80057,hd80057,hd80057,hd80057,hd80057,hd80057,24/02/03,log
HD 75063,A1III,,3.89,hd75063.tfits text,Plot,hd75063,hd75063,hd75063,hd75063,hd75063,hd75063,hd75063,10/12/02,log
HD 21423,A1IV,v,6.39,hd21423.tfits text,Plot,hd21423,hd21423,hd21423,hd21423,hd21423,hd21423,hd21423,10/10/01,log
HD 65810,A1V,,4.61,hd65810.tfits text,Plot,hd65810,hd65810,hd65810,hd65810,hd65810,hd65810,hd65810,16/11/01,log
HD 125248,A1p,"Eu,Cr",5.86,hd125248.tfits text,Plot,hd125248,hd125248,hd125248,hd125248,hd125248,hd125248,hd125248,06/02/03,log
HD 102878,A2Iab,,5.70,hd102878.tfits text,Plot,hd102878,hd102878,hd102878,hd102878,hd102878,hd102878,hd102878,06/01/02,log
HD 142703,A2Ib/II,v,6.123,hd142703.tfits text,Plot,hd142703,hd142703,hd142703,hd142703,hd142703,hd142703,hd142703,11/07/01,log
HD 210111,A2III/IV,,6.38,hd210111.tfits text,Plot,hd210111,hd210111,hd210111,hd210111,hd210111,hd210111,hd210111,07/07/02,log
HD 32667,A2IV,,5.59,hd32667.tfits text,Plot,hd32667,hd32667,hd32667,hd32667,hd32667,hd32667,hd32667,04/10/02,log
HD 141003,A2IV,d,3.66,hd141003.tfits text,Plot,hd141003,QC reject,hd141003,not yet,hd141003,hd141003,hd141003,11/03/03,log
HD 118022,A2p,"Sr,Cr,Eu",4.91,hd118022.tfits text,Plot,hd118022,hd118022,hd118022,hd118022,hd118022,hd118022,hd118022,21/07/01,log
HD 126515,A2p,"Cr,Sr",7.12,hd126515.tfits text,Plot,hd126515,hd126515,hd126515,hd126515,hd126515,hd126515,hd126515,10/03/01,log
HD 21940,A2m,,6.80,hd21940.tfits text,Plot,hd21940,hd21940,hd21940,hd21940,hd21940,hd21940,hd21940,23/07/02,log
HD 18466,A2/3V,,6.29,hd18466.tfits text,Plot,hd18466,hd18466,hd18466,hd18466,hd18466,hd18466,hd18466,09/08/02,log
HD 62623,A3Iab,el,3.98,hd62623.tfits text,Plot,hd62623,hd62623,hd62623,hd62623,hd62623,hd62623,hd62623,29/11/01,log
HD 162719,A3III/IV,,6.80,hd162719.tfits text,Plot,hd162719,hd162719,hd162719,hd162719,hd162719,hd162719,hd162719,12/07/01,log
HD 27411,A3m,,06.08,hd27411.tfits text,Plot,hd27411,hd27411,hd27411,hd27411,hd27411,hd27411,hd27411,14/08/02,log
HD 34295,A4II,,7.15,hd34295.tfits text,Plot,hd34295,hd34295,hd34295,hd34295,hd34295,hd34295,hd34295,13/02/03,log
HD 145689,A4V,,5.95,hd145689.tfits text,Plot,hd145689,hd145689,hd145689,hd145689,hd145689,hd145689,hd145689,27/07/01,log
HD 74272,A5II,,4.77,hd74272.tfits text,Plot,hd74272,hd74272,hd74272,hd74272,hd74272,hd74272,hd74272,18/11/01,log
HD 39060,A5V,,3.86,hd39060.tfits text,Plot,hd39060,hd39060,hd39060,hd39060,hd39060,hd39060,hd39060,09/07/02,log
HD 97534,A6Ia,el,4.62,hd97534.tfits text,Plot,hd97534,hd97534,hd97534,hd97534,hd97534,hd97534,hd97534,24/02/03,log
HD 73634,A6II,,4.14,hd73634.tfits text,Plot,hd73634,hd73634,hd73634,hd73634,hd73634,hd73634,hd73634,02/01/03,log
HD 148898,A6p,"Sr,Eu,Cr",4.44,hd148898.tfits text,Plot,hd148898,hd148898,hd148898,hd148898,hd148898,hd148898,hd148898,01/10/02,log
HD 81471,A7Iab,,06.09,hd81471.tfits text,Plot,hd81471,hd81471,hd81471,hd81471,hd81471,hd81471,hd81471,24/02/03,log
HD 163318,A7III/V,,5.79,hd163318.tfits text,Plot,hd163318,hd163318,hd163318,hd163318,hd163318,hd163318,hd163318,11/07/01,log
HD 50241,A7IV,hpm,3.30,hd50241.tfits text,Plot,hd50241,hd50241,hd50241,hd50241,hd50241,hd50241,hd50241,04/12/02,log
HD 90132,A8V,,5.34,hd90132.tfits text,Plot,hd90132,hd90132,hd90132,QC Reject,hd90132,hd90132,hd90132,24/02/02,log
HD 83368,A8p,"Sr,Eu,Cr",6.23,hd83368.tfits text,Plot,hd83368,hd83368,hd83368,hd83368,hd83368,hd83368,hd83368,23/11/01,log
HD 80404,A8Ib,,2.24,hd80404.tfits text,Plot,hd80404,hd80404,hd80404,hd80404,hd80404,hd80404,hd80404,24/02/03,log
HD 104111,A8II,,6.36,hd104111.tfits text,Plot,hd104111,hd104111,hd104111,hd104111,hd104111,hd104111,hd104111,24/02/03,log
HD 70574,A8IV,,6.15,hd70574.tfits text,Plot,hd70574,hd70574,hd70574,hd70574,hd70574,hd70574,hd70574,31/12/02,log
HD 90772,A9Ia,ceph,4.66,hd90772.tfits text,Plot,hd90772,hd90772,hd90772,hd90772,hd90772,hd90772,hd90772,29/12/02,log
HD 191301,A9III,v,7.46,hd191301.tfits text,Plot,hd191301,hd191301,hd191301,hd191301,hd191301,hd191301,hd191301,19/06/01,log
HD 26612,A9V,hpm,4.90,hd26612.tfits text,Plot,hd26612,hd26612,hd26612,hd26612,hd26612,hd26612,hd26612,05/12/02,log
HD 24712,A9p,"Sr,Eu,Cr",5.99,hd24712.tfits text,Plot,hd24712,hd24712,hd24712,hd24712,hd24712,hd24712,hd24712,13/03/01,log
