*HD Name*,*Sp. Type*,*Peculiarities*,*V mag.*,*Merged Spectrum*,*SPI*,*346B 304-388 nm*(*.tar.gz),*437B 373-499 nm*(*.tar.gz),*580L 476-577 nm*(*.tar.gz),*580U 584-684 nm*(*.tar.gz),*860L 660-854 nm*(*.tar.gz),*860U 866-1040 nm*(*.tar.gz),*Unmerged*(*.tar.gz),dd/mm/yy,QC
HD 101584,F0Iap,el,7.00,hd10584.tfits text,Plot,hd101584,hd101584,hd101584,hd101584,hd101584,hd101584,hd101584,03/02/03,log
HD 37227,F0II,el,6.70,hd37227.tfits text,Plot,hd37227,hd37227,hd37227,hd37227,hd37227,hd37227,hd37227,22/01/03,log
HD 7312,F0III,,5.95,hd7312.tfits text,Plot,hd7312,hd7312,hd7312,hd7312,hd7312,hd7312,hd7312,19/12/01,log
HD 18369,F0III,,6.61,hd18369.tfits text,Plot,hd18369,hd18369,hd18369,hd18369,hd18369,hd18369,hd18369,26/12/02,log
HD 145191,F0IV,,5.86,hd145191.tfits text,Plot,hd145191,hd145191,hd145191,hd145191,hd145191,hd145191,hd145191,11/07/01,log
HD 203875,F0IV,,5.72,hd203875.tfits text,Plot,hd203875,hd203875,hd203875,hd203875,hd203875,hd203875,hd203875,10/07/01,log
HD 19319,F0IV,,5.13,hd19319.tfits text,Plot,hd19319,hd19319,hd19319,hd19319,hd19319,hd19319,hd19319,23/07/02,log
HD 109931,F0V,,6.00,hd109931.tfits text,Plot,hd109931,hd109931,hd109931,hd109931,hd109931,hd109931,hd109931,25/07/01,log
HD 12311,F0V,hpm,2.90,hd12311.tfits text,Plot,hd12311,hd12311,hd12311,hd12311,hd12311,hd12311,hd12311,20/12/01,log
HD 55892,F0p,,4.50,hd55892.tfits text,Plot,hd55892,hd55892,hd55892,hd55892,hd55892,hd55892,hd55892,20/11/01,log
HD 159532,F1II,v,1.86,hd159532.tfits text,Plot,hd159532,hd159532,hd159532,hd159532,hd159532,hd159532,hd159532,10/09/02,log
HD 219571,F1III,,4.00,hd219571.tfits text,Plot,hd219571,hd219571,hd219571,hd219571,hd219571,hd219571,hd219571,18/11/01,log
HD 40136,F1V,,3.71,hd40136.tfits text,Plot,hd40136,hd40136,hd40136,hd40136,hd40136,hd40136,hd40136,18/11/01,log
HD 75276,F2Iab,,5.75,hd75276.tfits text,Plot,hd75276,hd75276,hd75276,hd75276,hd75276,hd75276,hd75276,24/02/03,log
HD 105211,F2II,d,4.15,hd105211.tfits text,Plot,hd105211,hd105211,hd105211,hd105211,QC Reject,hd105211,hd105211,20/06/01,log
HD 129502,F2III,hpm,3.90,hd129502.tfits text,Plot,hd129502,hd129502,hd129502,hd129502,hd129502,hd129502,hd129502,17/02/02,log
HD 172748,F2III,dSct,4.71,hd172748.tfits text,Plot,not yet,hd172748,not yet,not yet,hd172748,hd172748,hd172748,08/04/01,log
HD 57167,F2III/IV,"el,bAgl",5.70,hd57167.tfits text,Plot,hd57167,hd57167,hd57167,hd57167,hd57167,hd57167,hd57167,21/11/01,log
HD 164259,F2IV,,4.63,hd164259.tfits text,Plot,hd164259,hd164259,hd164259,hd164259,hd164259,hd164259,hd164259,08/10/02,log
HD 128167,F2V,v,4.46,hd128167.tfits text,Plot,hd128167,hd128167,hd128167,hd128167,hd128167,hd128167,hd128167,13/03/01,log
HD 110385,F2V,hpm,06.03,hd110385.tfits text,Plot,hd110385,hd110385,hd110385,hd110385,hd110385,hd110385,hd110385,26/07/01,log
HD 33256,F2V,,5.13,hd33256.tfits text,Plot,hd33256,hd33256,hd33256,hd33256,hd33256,hd33256,hd33256,21/09/02,log
HD 74180,F3Ia,,3.81,hd74180.tfits text,Plot,hd74180,hd74180,hd74180,hd74180,hd74180,hd74180,hd74180,24/02/03,log
HD 11171,F3III,d,4.66,hd11171.tfits text,Plot,hd11171,hd11171,hd11171,hd11171,hd11171,hd11171,hd11171,21/11/01,log
