*HD Name*,*Sp. Type*,*Peculiarities*,*V mag.*,*Merged Spectrum*,*SPI*,*346B 304-388 nm*(*.tar.gz),*437B 373-499 nm*(*.tar.gz),*580L 476-577 nm*(*.tar.gz),*580U 584-684 nm*(*.tar.gz),*860L 660-854 nm*(*.tar.gz),*860U 866-1040 nm*(*.tar.gz),*Unmerged*(*.tar.gz),dd/mm/yy,QC
HD 202320,K0II/III,,5.16,hd202320.tfits text,Plot,hd202320,hd202320,hd202320,hd202320,hd202320,hd202320,hd202320,11/07/01,log
HD 148291,K0II/III,c,5.19,hd148291.tfits text,Plot,hd148291,hd148291,hd148291,hd148291,hd148291,hd148291,hd148291,08/09/02,log
HD 95405,K0IIICN,c,8.33,hd95405.tfits text,Plot,hd95405,hd95405,hd95405,hd95405,hd95405,hd95405,hd95405,18/02/03,log
HD 110458,K0III,,4.67,hd110458.tfits text,Plot,not yet,hd110458,hd110458,hd110458,hd110458,hd110458,hd110458,23/06/01,log
HD 99322,K0III,,5.23,hd99322.tfits text,Plot,hd99322,hd99322,hd99322,hd99322,hd99322,hd99322,hd99322,18/07/01,log
HD 196171,K0IIICN,"d,v",3.11,hd196171.tfits text,Plot,hd196171,hd196171,hd196171,hd196171,hd196171,hd196171,hd196171,28/05/02,log
HD 23249,K0IV,rsCVn,3.51,hd23249.tfits text,Plot,hd23249,hd23249,hd23249,hd23249,hd23249,hd23249,hd23249,28/11/01,log
HD 100623,K0V,hpm,5.98,hd100623.tfits text,Plot,hd100623,hd100623,hd100623,hd100623,hd100623,hd100623,hd100623,16/06/01,log
HD 11643,K1II,,6.10,hd11643.tfits text,Plot,hd11643,hd11643,hd11643,hd11643,hd11643,hd11643,hd11643,07/12/02,log
HD 169916,K1IIIb,,2.83,hd169916.tfits text,Plot,hd169916,hd169916,hd169916,hd169916,hd169916,hd169916,hd169916,11/07/01,log
HD 83240,K1III,,05.01,hd83240.tfits text,Plot,hd83240,hd83240,hd83240,hd83240,hd83240,hd83240,hd83240,05/03/02,log
HD 121416,K1III,,5.82,hd121416.tfits text,Plot,hd121416,hd121416,hd121416,hd121416,hd121416,hd121416,hd121416,12/07/01,log
HD 138716,K1IV,,4.61,hd138716.tfits text,Plot,hd138716,hd138716,hd138716,hd138716,hd138716,hd138716,hd138716,08/03/03,log
HD 206778,K2Ib,v,2.40,hd206778.tfits text,Plot,hd206778,hd206778,hd206778,hd206778,hd206778,hd206778,hd206778,21/11/01,log
HD 140573,K2IIIb,d,2.64,hd140573.tfits text,Plot,hd140573,hd140573,hd140573,hd140573,hd140573,hd140573,hd140573,08/03/03,log
HD 22049,K2V,BYDra,3.73,hd22049.tfits text,Plot,hd22049,hd22049,hd22049,hd22049,hd22049,hd22049,hd22049,11/10/02,log
HD 149661,K2V,BYDra,5.76,hd149661.tfits text,Plot,hd149661,hd149661,hd149661,hd149661,hd149661,hd149661,hd149661,12/07/01,log
HD 225212,K3Iab,v,4.95,hd225212.tfits text,Plot,hd225212,hd225212,hd225212,hd225212,hd225212,hd225212,hd225212,23/07/01,log
HD 152786,K3III,,3.13,hd152786.tfits text,Plot,hd152786,hd152786,hd152786,hd152786,hd152786,hd152786,hd152786,10/07/01,log
HD 198357,K3III,,5.52,hd198357.tfits text,Plot,hd198357,hd198357,hd198357,hd198357,hd198357,hd198357,hd198357,07/11/02,log
HD 107446,K3.5III,v,3.59,hd107446.tfits text,Plot,hd107446,hd107446,hd107446,hd107446,hd107446,hd107446,hd107446,13/07/01,log
HD 138688,K4III,,5.14,hd138688.tfits text,Plot,hd138688,hd138688,hd138688,hd138688,hd138688,hd138688,hd138688,27/07/01,log
HD 145206,K4III,v,5.40,hd145206.tfits text,Plot,hd145206,hd145206,hd145206,hd145206,hd145206,hd145206,hd145206,19/06/01,log
HD 209100,K4.5V,hpm,4.69,hd209100.tfits text,Plot,hd209100,hd209100,hd209100,hd209100,hd209100,hd209100,hd209100,22/06/01,log
HD 12642,K5Iab,,5.64,hd12642.tfits text,Plot,hd12642,hd12642,hd12642,hd12642,hd12642,hd12642,hd12642,25/12/02,log
HD 167818,K5III,,4.66,hd167818.tfits text,Plot,hd167818,hd167818,hd167818,hd167818,hd167818,hd167818,hd167818,09/09/01,log
HD 82668,K5III,v,3.18,hd82668.tfits text,Plot,hd82668,not yet,hd82668,hd82668,not yet,not yet,hd82668,24/02/02,log
HD 10361,K5V,hpm,5.81,hd10361.tfits text,Plot,hd10361,hd10361,hd10361,hd10361,hd10361,hd10361,hd10361,01/12/02,log
HD 156026,K5V,rsCVn,6.34,hd156026.tfits text,Plot,not yet,hd156026,not yet,not yet,hd156026,hd156026,hd156026,09/04/01,log
HD 115236,K5,pv,07.04,hd115236.tfits text,Plot,QC Reject,hd115236,hd115236,hd115236,hd115236,hd115236,hd115236,14/08/02,log
HD 199642,K5/M0III,,6.29,hd199642.tfits text,Plot,hd199642,hd199642,hd199642,hd199642,hd199642,hd199642,hd199642,08/12/02,log
HD 119090,K6II,"v,el",6.59,hd119090.tfits text,Plot,hd119090,hd119090,hd119090,not yet,hd119090,hd119090,hd119090,24/02/03,log
HD 149447,K6III,,4.18,hd149447.tfits text,Plot,hd149447,hd149447,hd149447,hd149447,hd149447,hd149447,hd149447,12/03/03,log
HD 89736,K7III,,5.65,hd89736.tfits text,Plot,hd89736,hd89736,hd89736,hd89736,hd89736,hd89736,hd89736,25/02/03,log
