*HD Name*,*Sp. Type*,*Peculiarities*,*V mag.*,*Merged Spectrum*,*SPI*,*346B 304-388 nm*(*.tar.gz),*437B 373-499 nm*(*.tar.gz),*580L 476-577 nm*(*.tar.gz),*580U 584-684 nm*(*.tar.gz),*860L 660-854 nm*(*.tar.gz),*860U 866-1040 nm*(*.tar.gz),*Unmerged*(*.tar.gz),dd/mm/yy,QC
HD 143275,B0.2IV,,2.29,hd143275.tfits text,Plot,hd143275,not yet,not yet,not yet,not yet,not yet,not yet,14/07/01,log
HD 112272,B0.5Ia,v,7.39,hd112272.tfits text,Plot,hd112272,hd112272,hd112272,hd112272,hd112272,hd112272,hd112272,26/02/02,log
HD 115842,B0.5Ia,el,06.04,hd115842.tfits text,Plot,hd115842,hd115842,hd115842,hd115842,hd115842,hd115842,hd115842,25/02/02,log
HD 167264,B0.5Ia/Iab,,5.35,hd167264.tfits text,Plot,hd167264,not yet,not yet,not yet,not yet,not yet,not yet,12/07/01,log
HD 68761,B0.5III,,6.53,hd68761.tfits text,Plot,hd68761,hd68761,hd68761,hd68761,hd68761,hd68761,hd68761,25/02/02,log
HD 109867,B1Ia,v,6.26,hd109867.tfits text,Plot,hd109867,hd109867,hd109867,hd109867,hd109867,hd109867,hd109867,26/02/02,log
HD 115363,B1Ia,v,7.82,hd115363.tfits text,Plot,hd115363,hd115363,hd115363,hd115363,hd115363,hd115363,hd115363,26/02/02,log
HD 148688,B1Ia,el,5.33,hd148688.tfits text,Plot,hd148688,hd148688,hd148688,hd148688,hd148688,hd148688,hd148688,14/09/02,log
HD 152235,B1Ia,el,6.34,hd152235.tfits text,Plot,hd152235,hd152235,hd152235,hd152235,hd152235,hd152235,hd152235,03/10/02,log
HD 169454,B1Ia,el,6.65,hd169454.tfits text,Plot,hd169454,not yet,hd169454,hd169454,not yet,not yet,hd169454,13/09/02,log
HD 29138,B1Iab,,7.19,hd29138.tfits text,Plot,hd29138,hd29138,hd29138,hd29138,hd29138,hd29138,hd29138,21/01/02,log
HD 154873,B1Ib,d,6.70,hd154873.tfits text,Plot,hd154873,hd154873,hd154873,hd154873,hd154873,hd154873,hd154873,07/10/02,log
HD 30677,B1II/III,n,6.84,hd30677.tfits text,Plot,hd30677,hd30677,hd30677,hd30677,hd30677,hd30677,hd30677,28/02/02,log
HD 52918,B1V,bCep,4.99,hd52918.tfits text,Plot,hd52918,hd52918,hd52918,hd52918,hd52918,hd52918,hd52918,26/10/02,log
HD 136239,B1.5Ia,v,7.87,hd136239.tfits text,Plot,hd136239,hd136239,hd136239,hd136239,hd136239,hd136239,hd136239,22/02/02,log
HD 142758,B1.5Ia,v,07.08,hd142758.tfits text,Plot,hd142758,hd142758,hd142758,hd142758,hd142758,hd142758,hd142758,26/02/02,log
HD 148379,B1.5Ia,el,5.36,hd148379.tfits text,Plot,hd148379,hd148379,hd148379,hd148379,hd148379,hd148379,hd148379,26/02/02,log
HD 156575,B1.5III,,7.35,hd156575.tfits text,Plot,hd156575,hd156575,hd156575,hd156575,hd156575,hd156575,hd156575,21/09/02,log
HD 157038,B1/B2Ia,d,6.41,hd157038.tfits text,Plot,hd157038,hd157038,hd157038,hd157038,hd157038,hd157038,hd157038,22/09/02,log
HD 171432,B1/B2Iab,,7.11,hd171432.tfits text,Plot,hd171432,hd171432,hd171432,hd171432,hd171432,hd171432,hd171432,04/11/02,log
HD 58978,B1II,el,5.61,hd58978.tfits text,Plot,hd58978,hd58978,hd58978,hd58978,hd58978,hd58978,hd58978,03/10/02,log
HD 49131,B2III,,5.80,hd49131.tfits text,Plot,hd49131,hd49131,hd49131,hd49131,hd49131,hd49131,hd49131,02/10/02,log
HD 33328,B2IV,"n,el,bCep",4.25,hd33328.tfits text,Plot,hd33328,hd33328,hd33328,hd33328,hd33328,hd33328,hd33328,15/10/02,log
HD 88661,B2IV,el,5.76,hd88661.tfits text,Plot,hd88661,hd88661,hd88661,hd88661,hd88661,hd88661,not yet,08/02/01,log
HD 133518,B2IV,He-s,6.40,hd133518.tfits text,Plot,hd133518,hd133518,hd133518,hd133518,QC reject,QC reject,hd133518,13/03/01,log
HD 58343,B2V,"n,el",5.20,hd58343.tfits text,Plot,hd58343,hd58343,hd58343,hd58343,hd58343,hd58343,hd58343,13/03/01,log
HD 145482,B2V,,4.57,hd145482.tfits text,Plot,hd145482,hd145482,hd145482,hd145482,hd145482,hd145482,hd145482,13/08/02,log
HD 148184,B2V,"n,el",4.42,hd148184.tfits text,Plot,hd148184,hd148184,hd148184,hd148184,hd148184,hd148184,hd148184,26/02/02,log
HD 72067,B2V,"n,el",5.83,hd72067.tfits text,Plot,hd72067,hd72067,hd72067,hd72067,hd72067,hd72067,hd72067,17/11/01,log
HD 170235,B2V,"n,el",6.59,hd170235.tfits text,Plot,hd170235,hd170235,hd170235,hd170235,hd170235,hd170235,hd170235,10/07/01,log
HD 90177,B2,"el,nova",7.57,hd90177.tfits text,Plot,hd90177,hd90177,hd90177,hd90177,hd90177,hd90177,hd90177,08/10/02,log
HD 94910,B2p,e,07.09,hd94910.tfits text,Plot,hd94910,hd94910,hd94910,hd94910,hd94910,hd94910,hd94910,11/01/03,log
HD 46185,B2/B3II?,,6.79,hd46185.tfits text,Plot,hd46185,hd46185,hd46185,hd46185,hd46185,hd46185,hd46185,16/02/02,log
HD 168625,B2/5Ia,pagb,8.44,hd168625.tfits text,Plot,QC reject,QC reject,hd168625,hd168625,QC reject,QC reject,hd168625,09/07/01,log
HD 67536,B2.5V,n,6.24,hd67536.tfits text,Plot,hd67536,hd67536,hd67536,hd67536,hd67536,hd67536,hd67536,26/10/02,log
HD 37490,B3III,el,4.57,hd37490.tfits text,Plot,hd37490,hd37490,hd37490,hd37490,hd37490,hd37490,hd37490,01/10/02,log
HD 89587,B3III,,6.87,hd89587.tfitstext,Plot,hd89587,hd89587,hd89587,hd89587,hd89587,hd89587,hd89587,30/11/01,log
HD 143448,B3IV,el,7.10,hd143448.tfits text,Plot,hd143448,hd143448,hd143448,hd143448,hd143448,hd143448,hd143448,26/02/02,log
HD 37055,B3IV,v,6.41,hd37055.tfits text,Plot,hd37055,hd37055,hd37055,hd37055,hd37055,hd37055,hd37055,17/09/02,log
HD 45725,B3V,el,4.60,hd45725.tfits text,Plot,hd45725,hd45725,hd45725,hd45725,hd45725,hd45725,hd45725,13/03/01,log
HD 168607,B4Ia,el,8.25,hd168607.tfits text,Plot,not yet,hd168607,not yet,not yet,hd168607,hd168607,hd168607,09/07/01,log
HD 112842,B4IV,,07.07,hd112842.tfits text,Plot,hd112842,QC Reject,hd112842,hd112842,QC Reject,QC Reject,hd112842,15/02/03,log
HD 60498,B4III,,7.35,hd60498.tfits text,Plot,hd60498,hd60498,hd60498,hd60498,hd60498,hd60498,hd60498,15/02/03,log
HD 74966,B4IV,,7.43,hd74966.tfits text,Plot,hd74966,hd74966,hd74966,hd74966,hd74966,hd74966,hd74966,11/12/02,log
HD 36646,B4V,n,6.63,hd36646.tfits text,Plot,hd36646,hd36646,hd36646,hd36646,hd36646,hd36646,hd36646,05/02/03,log
HD 83312,B4p,she,7.40,hd83312.tfits text,Plot,hd83312,hd83312,hd83312,hd83312,hd83312,hd83312,hd83312,15/01/03,log
HD 163745,B5II,,6.50,hd163745.tfits text,Plot,hd163745,QC reject,hd163745,hd163745,hd163745,hd163745,hd163745,19/06/01,log
HD 58377,B5IV,,6.81,hd58377.tfits text,Plot,hd58377,QC Reject,hd58377,hd58377,QC Reject,QC Reject,hd58377,14/02/03,log
HD 120709,B5p,He-w,4.56,hd120709.tfits text,Plot,hd120709,hd120709,hd120709,hd120709,hd120709,hd120709,hd120709,24/06/01,log
HD 125823,B5p,He-w,4.40,hd125823.tfits text,Plot,hd125823,hd125823,hd125823,hd125823,hd125823,hd125823,hd125823,13/03/01,log
HD 105071,B6Ia/Ib,,6.31,hd105071.tfits text,Plot,hd105071,hd105071,hd105071,hd105071,hd105071,hd105071,hd105071,26/02/02,log
HD 76131,B6III,,6.68,hd76131.tfits text,Plot,hd76131,hd76131,hd76131,hd76131,hd76131,hd76131,hd76131,15/02/03,log
HD 43285,B6V,el,06.05,hd43285.tfits text,Plot,hd43285,hd43285,hd43285,hd43285,hd43285,hd43285,hd43285,23/02/02,log
HD 145792,B6p,He-w,6.42,hd145792.tfits text,Plot,hd145792,hd145792,hd145792,hd145792,hd145792,hd145792,hd145792,06/10/02,log
HD 155416,B7II,,6.60,hd155416.tfits text,Plot,hd155416,hd155416,hd155416,hd155416,hd155416,hd155416,hd155416,27/07/01,log
HD 49333,B7p,"He-w,Si",06.08,hd49333.tfits text,Plot,hd49333,hd49333,hd49333,hd49333,hd49333,hd49333,hd49333,13/09/02,log
HD 137753,B7IV,,6.69,hd137753.tfits text,Plot,hd137753,QC Reject,hd137753,hd137753,QC Reject,QC Reject,hd137753,14/02/03,log
HD 62714,B7V,"v,el",7.27,hd62714.tfits text,Plot,hd62714,hd62714,hd62714,hd62714,hd62714,hd62714,hd62714,,log
HD 106068,B8Ia/Iab,,5.95,hd106068.tfits text,Plot,hd106068,hd106068,hd106068,hd106068,hd106068,hd106068,hd106068,20/07/01,log
HD 142983,B8Ia/Iab,el,4.94,hd142983.tfits text,Plot,hd142983,hd142983,hd142983,hd142983,hd142983,hd142983,hd142983,11/07/01,log
HD 61429,B8IV,v,4.70,hd61429.tfits text,Plot,hd61429,hd61429,hd61429,hd61429,hd61429,hd61429,hd61429,29/11/01,log
HD 145842,B8V,,4.95,hd145842.tfits text,Plot,hd145842,hd145842,hd145842,hd145842,hd145842,hd145842,hd145842,26/02/02,log
HD 188294,B8V,d,6.44,hd188294.tfits text,Plot,hd188294,hd188294,hd188294,hd188294,hd188294,hd188294,hd188294,12/07/01,log
HD 142301,B8p,He-w,5.86,hd142301.tfits text,Plot,hd142301,hd142301,hd142301,hd142301,hd142301,hd142301,hd142301,13/03/01,log
HD 90264,B8p,He-w,4.95,hd90264.tfits text,Plot,hd90264,hd90264,hd90264,hd90264,hd90264,hd90264,hd90264,26/02/02,log
HD 64972,B8p,,7.18,hd64972.tfits text,Plot,hd64972,hd64972,hd64972,hd64972,hd64972,hd64972,hd64972,27/11/02,log
HD 123515,B8p,"sb,Si",5.96,hd123515.tfits text,Plot,hd123515,hd123515,hd123515,hd123515,hd123515,hd123515,hd123515,05/08/02,log
HD 137509,B8p,"Si,Cr,Fe",6.89,hd137509.tfits text,Plot,hd137509,hd137509,hd137509,hd137509,hd137509,hd137509,hd137509,11/07/01,log
HD 221507,B8p,"m,n,Mn,Hg",4.37,hd221507.tfits text,Plot,hd221507,hd221507,hd221507,QC Reject,hd221507,hd221507,hd221507,09/06/02,log
HD 46462,B9,"v,Si",7.56,hd46462.tfits text,Plot,hd46462,hd46462,hd46462,hd46462,hd46462,hd46462,hd46462,25/02/02,log
HD 51876,B9II,mp,7.13,hd51876.tfits text,Plot,hd51876,not yet,hd51876,hd51876,QC Reject,QC Reject,hd51876,14/02/03,log
HD 100841,B9III,d,3.12,hd100841.tfits text,Plot,hd100841,hd100841,hd100841,hd100841,hd100841,hd100841,hd100841,23/06/01,log
HD 10840,B9p,Si,6.79,hd10840.tfits text,Plot,hd10840,hd10840,hd10840,hd10840,hd10840,hd10840,hd10840,14/09/02,log
HD 47116,B9p,"d,Si",7.50,hd47116.tfits text,Plot,hd47116,hd47116,hd47116,hd47116,hd47116,hd47116,hd47116,25/02/02,log
HD 199728,B9p,Si,6.25,hd199728.tfits text,Plot,hd199728,hd199728,hd199728,hd199728,hd199728,hd199728,hd199728,29/11/02,log
HD 223640,B9p,"Si,Sr,Cr",5.18,hd223640.tfits text,Plot,hd223640,hd223640,hd223640,hd223640,hd223640,hd223640,hd223640,13/08/02,log
HD 90882,B9.5V,,5.18,hd90882.tfits text,Plot,hd90882,hd90882,hd90882,hd90882,hd90882,hd90882,hd90882,24/11/01,log
