*HD Name*,*Sp. Type*,*Peculiarities*,*V mag.*,*Merged Spectrum*,*SPI*,*346B 304-388 nm*(*.tar.gz),*437B 373-499 nm*(*.tar.gz),*580L 476-577 nm*(*.tar.gz),*580U 584-684 nm*(*.tar.gz),*860L 660-854 nm*(*.tar.gz),*860U 866-1040 nm*(*.tar.gz),*Unmerged*(*.tar.gz),dd/mm/yy,QC
HD 174383,G0Ib,ceph,6.92,hd174383.tfits text,Plot,hd174383,hd174383,hd174383,hd174383,hd174383,hd174383,hd174383,19/06/01,log
HD 154365,G0II,ceph,7.37,hd154365.tfits text,Plot,hd154365,hd154365,hd154365,hd154365,hd154365,hd154365,hd154365,19/06/01,log
HD 152429,G0IV,,7.21,hd152429.tfits text,Plot,hd152429,hd152429,hd152429,hd152429,hd152429,hd152429,hd152429,27/07/01,log
HD 216435,G0V,hpm,06.03,hd216435.tfits text,Plot,hd216435,hd216435,hd216435,hd216435,hd216435,hd216435,hd216435,21/12/01,log
HD 105113,G0V,hpm,6.60,hd105113.tfits text,Plot,hd105113,hd105113,hd105113,hd105113,hd105113,hd105113,hd105113,21/06/01,log
HD 115383,G0V,hpm,5.22,hd115383.tfits text,Plot,hd115383,hd115383,hd115383,hd115383,hd115383,hd115383,hd115383,26/02/02,log
HD 63077,G0V,hpm,5.37,hd63077.tfits text,Plot,hd63077,not yet,hd63077,hd63077,hd63077,hd63077,hd63077,08/04/01,log
HD 97082,G1Iab/Ib,,6.79,hd97082.tfits text,Plot,hd97082,hd97082,hd97082,hd97082,hd97082,hd97082,hd97082,04/02/03,log
HD 85552,G1II/III,,7.78,hd85552.tfits text,Plot,hd85552,hd85552,hd85552,hd85552,hd85552,hd85552,hd85552,12/01/03,log
HD 142,G1IV,hpm,5.70,hd142.tfits text,Plot,hd142,hd142,hd142,hd142,hd142,hd142,hd142,30/11/02,log
HD 20807,G1V,hpm,5.24,hd20807.tfits text,Plot,hd20807,hd20807,hd20807,hd20807,hd20807,hd20807,hd20807,04/12/02,log
HD 136537,G2II,,6.78,hd136537.tfits text,Plot,hd136537,hd136537,hd136537,hd136537,hd136537,hd136537,hd136537,10/03/03,log
HD 2151,G2IV,v,2.80,hd2151.tfits text,Plot,hd2151,hd2151,hd2151,hd2151,hd2151,hd2151,hd2151,25/07/01,log
HD 14802,G2V,hpm,5.19,hd14802.tfits text,Plot,hd14802,hd14802,hd14802,hd14802,hd14802,hd14802,hd14802,27/11/02,log
HD 160691,G3IV/V,,5.15,hd160691.tfits text,Plot,hd160691,hd160691,hd160691,hd160691,hd160691,hd160691,hd160691,12/07/01,log
HD 211415,G3V,hpm,5.33,hd211415.tfits text,Plot,hd211415,hd211415,hd211415,hd211415,hd211415,hd211415,hd211415,30/11/02,log
HD 211998,G3V,hpm,5.29,hd211998.tfits text,Plot,hd211998,hd211998,hd211998,hd211998,hd211998,hd211998,hd211998,08/07/02,log
HD 204075,G4Ib,d,3.75,hd204075.tfits text,Plot,hd204075,hd204075,hd204075,hd204075,hd204075,hd204075,hd204075,27/11/02,log
HD 199951,G4III,d,4.68,hd199951.tfits text,Plot,hd199951,hd199951,hd199951,hd199951,hd199951,hd199951,hd199951,10/07/01,log
HD 59967,G4V,,6.67,hd59967.tfits text,Plot,hd59967,hd59967,hd59967,hd59967,hd59967,hd59967,hd59967,29/10/01,log
HD 136352,G4V,hpm,5.65,hd136352.tfits text,Plot,hd136352,not yet,not yet,not yet,not yet,not yet,not yet,16/07/01,log
HD 109379,G5II,v,2.65,hd109379.tfits text,Plot,hd109379,hd109379,hd109379,hd109379,hd109379,hd109379,hd109379,24/07/01,log
HD 148451,G5III,,6.60,hd148451.tfits text,Plot,hd148451,hd148451,hd148451,hd148451,hd148451,hd148451,hd148451,12/07/01,log
HD 152311,G5IV,,5.88,hd152311.tfits text,Plot,hd152311,hd152311,hd152311,hd152311,hd152311,hd152311,hd152311,05/10/02,log
HD 59468,G5V,hpm,6.74,hd59468.tfits text,Plot,hd59468,hd59468,hd59468,hd59468,hd59468,hd59468,hd59468,28/10/01,log
HD 115617,G5V,hpm,4.74,hd115617.tfits text,Plot,hd115617,hd115617,hd115617,hd115617,hd115617,hd115617,hd115617,07/07/01,log
HD 125809,G5/G6Ib,,6.40,hd125809.tfits text,Plot,hd125809,hd125809,hd125809,hd125809,hd125809,hd125809,hd125809,27/07/01,log
HD 79698,G6II,,5.54,hd79698.tfits text,Plot,hd79698,hd79698,hd79698,hd79698,hd79698,hd79698,hd79698,24/02/03,log
HD 212320,G6III,,5.92,hd212320.tfits text,Plot,hd212320,hd212320,hd212320,hd212320,hd212320,hd212320,hd212320,27/07/01,log
HD 140901,G6V,,06.01,hd140901.tfits text,Plot,hd140901,hd140901,hd140901,hd140901,hd140901,hd140901,hd140901,06/03/03,log
HD 74006,G7Ib-II,,3.97,hd74006.tfits text,Plot,not yet,hd74006,not yet,not yet,hd74006,hd74006,hd74006,24/02/03,log
HD 37811,G7III,,5.44,hd37811.tfits text,Plot,hd37811,hd37811,hd37811,hd37811,hd37811,hd37811,hd37811,14/02/03,log
HD 190248,G7IV,v,3.56,hd190248.tfits text,Plot,hd190248,hd190248,hd190248,hd190248,hd190248,hd190248,hd190248,05/10/01,log
HD 99648,G8Iab?,d,4.95,hd99648.tfits text,Plot,hd99648,hd99648,hd99648,hd99648,hd99648,hd99648,hd99648,21/01/02,log
HD 27256,G8II/III,d,3.34,hd27256.tfits text,Plot,hd27256,hd27256,hd27256,hd27256,hd27256,hd27256,hd27256,06/03/02,log
HD 163652,G8III,d,5.74,hd163652.tfits text,Plot,hd163652,hd163652,hd163652,hd163652,hd163652,hd163652,hd163652,10/07/01,log
HD 24616,G8IV/V,hpm,6.71,hd24616.tfits text,Plot,hd24616,hd24616,hd24616,hd24616,hd24616,hd24616,hd24616,04/03/02,log
HD 92626,G8/K0p,c,07.08,hd92626.tfits text,Plot,hd92626,hd92626,hd92626,hd92626,hd92626,hd92626,hd92626,25/06/01,log
HD 117440,G9Ib,,3.90,hd117440.tfits text,Plot,hd117440,hd117440,hd117440,hd117440,hd117440,hd117440,hd117440,24/02/03,log
HD 77020,G9II,,5.88,hd77020.tfits text,Plot,hd77020,hd77020,hd77020,hd77020,hd77020,hd77020,hd77020,02/01/03,log
HD 45415,G9III,,5.55,hd45415.tfits text,Plot,hd45415,hd45415,hd45415,hd45415,hd45415,hd45415,hd45415,25/02/02,log
HD 104304,G9IV,,5.54,hd104304.tfits text,Plot,hd104304,hd104304,hd104304,hd104304,hd104304,hd104304,hd104304,24/02/03,log
HD 25069,G9V,,5.84,hd25069.tfits text,Plot,hd25069,hd25069,hd25069,hd25069,hd25069,hd25069,hd25069,14/10/02,log
