*HD Name*,*Sp. Type*,*Peculiarities*,*V mag.*,*Merged Spectrum*,*SPI*,*346B 304-388 nm*(*.tar.gz),*437B 373-499 nm*(*.tar.gz),*580L 476-577 nm*(*.tar.gz),*580U 584-684 nm*(*.tar.gz),*860L 660-854 nm*(*.tar.gz),*860U 866-1040 nm*(*.tar.gz),*Unmerged*(*.tar.gz),dd/mm/yy,QC
HD 92305,M0III,v,4.11,hd92305.tfits text,Plot,hd92305,hd92305,hd92305,hd92305,hd92305,hd92305,hd92305,12/06/01,log
HD 156274,M0V,hpm,5.47,hd156274.tfits text,Plot,hd156274,hd156274,hd156274,hd156274,hd156274,hd156274,hd156274,11/07/01,log
HD 49331,M1Iab,,5.10,hd49331.tfits text,Plot,hd49331,hd49331,hd49331,hd49331,hd49331,hd49331,hd49331,17/02/03,log
HD 190421,M1IIb,v,4.94,hd190421.tfits text,Plot,hd190421,hd190421,hd190421,hd190421,hd190421,hd190421,hd190421,25/11/02,log
HD 123934,M1III,v,4.95,hd123934.tfits text,Plot,hd123934,hd123934,hd123934,hd123934,hd123934,hd123934,hd123934,23/01/02,log
HD 102212,M1III,v,04.05,hd102212.tfits text,Plot,hd102212,hd102212,hd102212,hd102212,hd102212,hd102212,hd102212,17/06/01,log
HD 210066,M1III,,4.99,hd210066.tfits text,Plot,hd210066,hd210066,hd210066,hd210066,hd210066,hd210066,hd210066,10/07/01,log
HD 119149,M1.5III,v,05.05,hd119149.tfits text,Plot,hd119149,hd119149,hd119149,QC Reject,hd119149,hd119149,hd119149,12/07/01,log
HD 95950,M2Ib,,6.61,hd95950.tfits text,Plot,hd95950,hd95950,hd95950,hd95950,hd95950,hd95950,hd95950,25/02/03,log
HD 42682,M2II-III,v,5.58,hd42682.tfits text,Plot,hd42682,hd42682,hd42682,hd42682,hd42682,hd42682,hd42682,26/11/02,log
HD 120052,M2III,v,5.44,hd120052.tfits text,Plot,hd120052,hd120052,hd120052,QC reject,hd120052,hd120052,hd120052,12/07/01,log
HD 219215,M2III,hpm,4.22,hd219215.tfits text,Plot,hd219215,hd219215,hd219215,hd219215,hd219215,hd219215,hd219215,06/11/02,log
HD 88366,M2.5III,"el,MirCet",5.60,hd88366.tfits text,Plot,hd88366,hd88366,hd88366,hd88366,hd88366,hd88366,hd88366,30/11/01,log
HD 131217,M2/M3II,S,7.51,hd131217.tfits text,Plot,hd131217,hd131217,hd131217,hd131217,hd131217,hd131217,hd131217,30/09/02,log
HD 61913,M3II/III,S,5.58,hd61913.tfits text,Plot,hd61913,hd61913,hd61913,hd61913,hd61913,hd61913,hd61913,16/02/03,log
HD 130328,M3III,v,06.01,hd130328.tfits text,Plot,hd130328,hd130328,hd130328,hd130328,hd130328,hd130328,hd130328,12/07/01,log
HD 224935,M3III,v,4.41,hd224935.tfits text,Plot,hd224935,hd224935,hd224935,hd224935,hd224935,hd224935,hd224935,28/11/01,log
HD 11695,M4III,,4.44,hd11695.tfits text,Plot,hd11695,hd11695,hd11695,hd11695,hd11695,hd11695,hd11695,07/02/03,log
HD 34055,M4III,c,6.84,hd34055.tfits text,Plot,hd34055,hd34055,hd34055,hd34055,hd34055,hd34055,hd34055,18/01/03,log
HD 189763,M4III,v,4.51,hd189763.tfits text,Plot,hd189763,hd189763,hd189763,hd189763,hd189763,hd189763,hd189763,27/07/01,log
HD 213080,M4.5IIIa,v,4.17,hd213080.tfits text,Plot,hd213080,hd213080,hd213080,hd213080,hd213080,hd213080,hd213080,11/07/01,log
HD 214952,M5III,v,2.13,hd214952.tfits text,Plot,hd214952,hd214952,hd214952,hd214952,hd214952,hd214952,hd214952,05/11/02,log
HD 118767,M5III,v,5.86,hd118767.tfits text,Plot,hd118767,hd118767,hd118767,hd118767,hd118767,hd118767,hd118767,09/07/01,log
HD 189124,M6III,v,05.06,hd189124.tfits text,Plot,hd189124,hd189124,hd189124,hd189124,hd189124,hd189124,hd189124,19/06/01,log
HD 18242,M7III,"MirCet,el",3.0,hd18242.tfits text,Plot,hd18242,QC reject,hd18242,hd18242,hd18242,hd18242,hd18242,23/07/01,log
HD 29712,M8III,"srp,el",5.73,hd29712.tfits text,Plot,hd29712,hd29712,hd29712,hd29712,hd29712,hd29712,hd29712,27/12/02,log
HD 92055,C5II,c,4.93,hd92055.tfits text,Plot,not yet,hd92055,not yet,not yet,hd92055,hd92055,hd92055,08/06/01,log
HD 20234,C5II,c,5.79,hd20234.tfits text,Plot,QC reject,QC reject,hd20234,hd20234,hd20234,hd20234,hd20234,21/07/01,log
HD 134453,C5,"nova,c",5.63,hd134453.tfits text,Plot,hd134453,hd134453,hd134453,hd134453,hd134453,hd134453,hd134453,15/07/01,log
HD 32736,C6II,c,5.88,hd32736.tfits text,Plot,QC Reject,hd32736,hd32736,not yet,hd32736,hd32736,hd32736,18/02/02,log
HD 91793,N,"pv,c",5.51,hd91793.tfits text,Plot,QC reject,QC reject,hd91793,hd91793,hd91793,hd91793,hd91793,23/06/01,log
