*HD Name*,*Sp. Type*,*Peculiarities*,*V mag.*,*Merged Spectrum*,*SPI*,*346B 304-388 nm*(*.tar.gz),*437B 373-499 nm*(*.tar.gz),*580L 476-577 nm*(*.tar.gz),*580U 584-684 nm*(*.tar.gz),*860L 660-854 nm*(*.tar.gz),*860U 866-1040 nm*(*.tar.gz),*Unmerged*(*.tar.gz),dd/mm/yy,QC
HD 164794,O4V,"f,el",5.93,hd164794.tfits text,Plot,hd164794,hd164794,hd164794,hd164794,hd164794,hd164794,hd164794,11/07/01,log
HD 97253,O5.5III,"f,cl,el",7.11,hd97253.tfits text,Plot,hd97253,hd97253,hd97253,hd97253,hd97253,hd97253,hd97253,18/07/01,log
HD 163758,O6.5Ia,f,7.32,hd163758.tfits text,Plot,hd163758,hd163758,hd163758,hd163758,hd163758,hd163758,hd163758,27/07/01,log
HD 94963,O6.5III,"f,el",7.14,hd94963.tfits text,Plot,hd94963,hd94963,hd94963,hd94963,hd94963,hd94963,hd94963,25/02/02,log
HD 148937,O6.5,"pn,el",6.77,hd148937.tfits text,Plot,hd148937,hd148937,hd148937,hd148937,hd148937,hd148937,hd148937,26/02/02,log
HD 163800,O7III,f,07.01,hd163800.tfits text,Plot,hd163800,hd163800,hd163800,hd163800,hd163800,QC Reject,hd163800,29/09/02,log
HD 48099,O7V,"f,el",6.37,hd48099.tfits text,Plot,hd48099,QC reject,hd48099,QC reject,QC reject,hd48099,hd48099,09/04/01,log
HD 155806,O7.5V,el,5.61,hd155806.tfits text,Plot,hd155806,hd155806,hd155806,hd155806,hd155806,hd155806,hd155806,11/07/01,log
HD 36861,O8III,"f,el",3.30,hd36861.tfits text,Plot,hd36861,hd36861,hd36861,QC Reject,QC Reject,QC Reject,hd36861,10/09/02,log
HD 96917,O8.5Ib,v,7.11,hd96917.tfits text,Plot,hd96917,hd96917,hd96917,hd96917,hd96917,hd96917,hd96917,25/02/02,log
HD 76341,O9Ib,el,7.17,hd76341.tfits text,Plot,hd76341,hd76341,hd76341,hd76341,hd76341,hd76341,hd76341,24/02/02,log
HD 152003,O9.7Iab,v,6.99,hd152003.tfits text,Plot,hd152003,hd152003,hd152003,hd152003,hd152003,hd152003,hd152003,26/02/02,log
HD 154811,OC9.7Ib,,6.93,hd154811.tfits text,Plot,hd154811,hd154811,hd154811,hd154811,hd154811,hd154811,hd154811,03/09/02,log
HD 105056,ON9.7Ia,"pv,el",7.34,hd105056.tfits text,Plot,hd105056,hd105056,hd105056,hd105056,hd105056,hd105056,hd105056,23/02/02,log
HD 92740,WN7A,wr,6.42,hd92740.tfits text,Plot,hd92740,hd92740,hd92740,hd92740,hd92740,QC Reject,hd92740,02/01/03,log
HD 151932,WN7A,wr,6.49,hd151932.tfits text,Plot,hd151932,hd151932,hd151932,hd151932,hd151932,hd151932,hd151932,04/10/02,log
HD 93131,WN6A,wr,6.48,hd93131.tfits text,Plot,hd93131,hd93131,hd93131,hd93131,hd93131,hd93131,hd93131,25/02/02,log
HD 50896,WN5,wr,6.74,hd50896.tfits text,Plot,hd50896,hd50896,hd50896,hd50896,hd50896,hd50896,hd50896,20/01/02,log
HD 113904,WC5/B0Ia,wr,5.69,hd113904.tfits text,Plot,hd113904,hd113904,hd113904,hd113904,hd113904,hd113904,hd113904,22/07/01,log
HD 152270,WC7,wr,6.60,hd152270.tfits text,Plot,hd152270,hd152270,hd152270,hd152270,hd152270,hd152270,hd152270,23/07/01,log
HD 156385,WC7,wr,6.92,hd156385.tfits text,Plot,hd156385,hd156385,hd156385,hd156385,hd156385,hd156385,hd156385,14/10/02,log
